"workerId","place","scenario_base","scenario_num","causal_value","counterfactual_value","embedded_prompt"
"","Beach","scenario_2_",3,"If I put on sunglasses, and put on another pair and take those off, then I will still be wearing sunglasses ","If I were to put on a pair of sunglasses, and then pot on another pair and take those off, then I would still be wearing sunglasses ","Imagine a typical Beach. Now consider this statement about that place

STATEMENT:
If I put on sunglasses, and put on another pair and take those off, then I will still be wearing sunglasses .

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"","Library","scenario_3_",2,"If a person takes a book without sending borrow requests, then they will be punished by library rules.","If a person had taken a book withsending borrow requests, then they  wouldn't have been punished by library rules.","Imagine a typical Library. Now consider this statement about that place

STATEMENT:
If a person takes a book without sending borrow requests, then they will be punished by library rules..

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"","School","scenario_1_",3,"If two student are being disrespectful to each other, they then will be punished by their dean.","If two student hadn't been disrespectful to each other, they then wouldn't have been punished by their dean","Imagine a typical School. Now consider this statement about that place

STATEMENT:
If two student are being disrespectful to each other, they then will be punished by their dean..

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"","Train","scenario_1_",1,"If I see a building while riding the train, that building is between my destination and point of origin ","If I hadn't seen a nuclear power plant on my trip, I wouldn't have known there is one between Detroit and Chicago ","Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If I see a building while riding the train, that building is between my destination and point of origin .

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"","Train","scenario_1_",3,"If the sleeping car is not open, then I can still sleep on the train","If the sleeping car is not open, then I would still be able to sleep on the train","Imagine a typical Train. Now consider this statement about that place

STATEMENT:
If the sleeping car is not open, then I can still sleep on the train.

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"","grocery store","scenario_2_",1,"If a customer buy some produce, they then will need to pay for it.","If a customer hadn't bought any produce, they then woudn't need need to pay for it,","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If a customer buy some produce, they then will need to pay for it..

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"","grocery store","scenario_2_",2,"If a customer doesn't pay for what they have, they then will be caught and punished.","If a customer had paid for what they have, they then wouldn't have been caught and punished.","Imagine a typical grocery store. Now consider this statement about that place

STATEMENT:
If a customer doesn't pay for what they have, they then will be caught and punished..

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"85754","Airport","scenario_3_",1,"If someone brings water through security, security will take the water, then the person will have to purchase a new water.","If someone would've brought a water through security, then they would not come out of security with that water.","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If someone brings water through security, security will take the water, then the person will have to purchase a new water..

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"85754","Airport","scenario_3_",2,"If someone prints their plane tickets ahead of time, they wont have to print them at the airport, and then it will take less long.","If someone wouldn't print their tickets ahead of time, then they would have to find a place to print their airline tickets.","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
If someone prints their plane tickets ahead of time, they wont have to print them at the airport, and then it will take less long..

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
"85754","Airport","scenario_3_",3,"if someone looses their luggage, they will have to contact the airline, so then they can retrieve their luggage.","If someone wouldn't loose their luggage, then they will retrieve their luggage when they arrive in their destination","Imagine a typical Airport. Now consider this statement about that place

STATEMENT:
if someone looses their luggage, they will have to contact the airline, so then they can retrieve their luggage..

For this statement, respond with your level of agreement using one of the options from this scale:
""Definitely false"", ""Probably false"", ""Neither true nor false"", ""Probably true"", ""Definitely true"""
